;__label__FIN#positive;"Thị trường tăng ""nóng"", hàng loạt doanh nghiệp đăng ký bán cổ phiếu quỹ, Vinhomes và Sacombank cũng nhập cuộc"
0;__label__FIN#positive;Petrosetco (PET) chuẩn bị phát hành 4 triệu cổ phiếu ESOP giá 10.000 đồng/cp
1;__label__FIN#neutral;Điểm danh những doanh nghiệp chốt quyền nhận cổ tức bằng tiền, bằng cổ phiếu và cổ phiếu thưởng tuần từ 12/7 - 16/7
2;__label__FIN#neutral;Lịch sự kiện và tin vắn chứng khoán ngày 9/7
3;__label__FIN#negative;Giá cổ phiếu đang chạy trước lợi nhuận, nhà đầu tư cần cẩn trọng với nhịp điều chỉnh ngắn hạn và vùng trũng thông tin trong nửa cuối năm 2021
4;__label__FIN#neutral;HND, ILA, HNA, NED, TTZ, APS, KDM, SCG, GKM, DS3, PPE: Thông tin giao dịch lượng lớn cổ phiếu
5;__label__FIN#positive;Gần 62 triệu cổ phiếu của ngân hàng NCB vừa được thỏa thuận với giá 20.000 đồng/cp trong 2 phiên giao dịch
6;__label__FIN#neutral;Lạm phát quan trọng với xu hướng thị trường chứng khoán nhưng không phải là tất cả
7;__label__FIN#positive;Sữa Quốc tế (IDP) chốt quyền nhận cổ tức bằng tiền tỷ lệ 50%
8;__label__FIN#negative;Phiên 8/7: Thị trường đảo chiều liên tục, khối ngoại quay đầu bán ròng hơn 257 tỷ đồng, tâm điểm NVL
9;__label__FIN#positive;Novaland huy động thành công 300 triệu USD trái phiếu chuyển đổi quốc tế
10;__label__FIN#negative;Người nhà CEO của Chứng khoán APS đăng ký bán hơn 1,9 triệu cổ phiếu APS
11;__label__FIN#positive;"Coteccons trúng loạt thầu tổng giá trị hơn 6.000 tỷ đồng, trong đó có ""siêu"" dự án Ecopark"
12;__label__FIN#positive;Cảng Phước An đưa 150 triệu cổ phiếu lên giao dịch trên Upcom
13;__label__FIN#positive;Digiworld (DGW): Ước lợi nhuận quý 2/2021 đạt 101 tỷ đồng, tăng 110% so với cùng kỳ
14;__label__FIN#positive;Fubon FTSE Vietnam ETF giải ngân gần 900 tỷ đồng mua cổ phiếu Việt Nam trong những ngày đầu tháng 7
