,DateTime,Title,ShortContent
0,2021-07-16,VN-Index trở lại sát 1.300 điểm,"Chứng khoán có phiên tăng thứ hai liên tiếp, lên 1.299,31 điểm dù dòng tiền đổ vào thị trường vẫn dè dặt."
1,2021-07-16,VHM |  Vinhomes muốn bán hết cổ phiếu quỹ,Công ty cổ phần Vinhomes (VHM) vừa đăng ký bán 60 triệu cổ phiếu quỹ để bổ sung vốn lưu động.
2,2021-07-15,Tiền vào chứng khoán vẫn chậm,"VN-Index tăng nhanh trong phiên chiều 15/7 nhưng không hút được dòng tiền trở lại, thanh khoản cả phiên chỉ đạt hơn 15.000 tỷ đồng."
3,2021-07-14,Chứng khoán lại giảm mạnh,"Lực chốt lời mạnh khiến VN-Index hôm nay có lúc mất 33 điểm, sau đó thu hẹp biên độ dần và đóng cửa giảm 17 điểm."
4,2021-07-13,Dragon Capital: Nhà đầu tư có thể bắt đầu chọn mua cổ phiếu,"Nếu tự đầu tư, Dragon Capital cho rằng nên lựa chọn các công ty có kết quả kinh doanh tốt, còn với kế hoạch tích sản, thời điểm này là lúc mua bình quân giá."
5,2021-07-13,Tiền vào thị trường chứng khoán giảm mạnh,"Thị trường giằng co, chưa xác định xu hướng rõ ràng khiến dòng tiền tham gia chững lại. Thanh khoản sàn HoSE giảm nửa so với phiên 12/7."
6,2021-07-13,Nhà đầu tư nên bắt đáy hay cắt lỗ lúc này?,"Rủi ro vẫn còn, song các chuyên gia cho rằng mức định giá thị trường đủ hấp dẫn để mua thăm dò nhưng không nên dùng tiền vay."
7,2021-07-12,Vốn hoá trên sàn HoSE ‘bốc hơi’ hơn 8 tỷ USD,"Giá trị vốn hoá niêm yết trên sàn chứng khoán TP HCM sau phiên 12/7 còn 4,86 triệu tỷ đồng, mức thấp nhất trong vòng một tháng rưỡi."
8,2021-07-12,Chứng khoán chốt phiên giảm 50 điểm,Lực bán quá mạnh suốt phiên khiến có lúc Vn-Index rơi kỷ lục hơn 75 điểm và chỉ thu hẹp đà giảm nhờ dòng tiền bắt đáy những phút cuối.
9,2021-07-12,VCB |  Vietcombank báo lãi hơn 14.500 tỷ đồng,"Lợi nhuận Vietcombank nửa đầu năm tăng hơn 35% lên khoảng 14.800 tỷ đồng, đã bao gồm khoản phí upfront ghi nhận từ hợp đồng bảo hiểm với FWD."
10,2021-07-12,Chứng khoán tuần này: Nhà đầu tư nên thận trọng,"Giới phân tích cho rằng thị trường có thể điều chỉnh trước khi trở lại xu hướng tăng trong trung hạn nên khuyến nghị nhà đầu tư ưu tiên giảm margin, cơ cấu danh mục."
11,2021-07-11,Chứng khoán Việt Nam có tuần giảm mạnh nhất thế giới,"Chứng khoán Việt Nam trải qua tuần tồi tệ nhất từ cuối tháng 1 đến nay khi VN-Index mất 5,15%, xuống 1.347,14 điểm sau bốn phiên giảm và một phiên tăng."
12,2021-07-09,Chứng khoán lại giảm sâu,"Thị trường chứng khoán khép lại tuần đầu tiên vận hành hệ thống mới bằng phiên giảm 27 điểm, đưa VN-Index về vùng giá thấp nhất một tháng."
13,2021-07-08,Hệ thống mới của HoSE đang vận hành thế nào?,"Hệ thống mới của HoSE được nhà đầu tư khen ""nhanh"", ""mượt"" nhưng trong ba ngày vận hành, hệ thống riêng của một số công ty chứng khoán lại thay phiên báo lỗi."
14,2021-07-08,"Bán 3,7 triệu cổ phiếu ACB của 'bầu' Kiên","Chi cục Thi hành án dân sự Hoàng Mai cùng các bên sẽ bán hơn 3,7 triệu cổ phiếu ACB trong 3 ngày tới."
15,2021-07-08,VDS |  Chứng khoán Rồng Việt lãi gấp 18 lần cùng kỳ,"Chứng khoán Rồng Việt nửa đầu năm đạt lợi nhuận sau thuế 245 tỷ đồng, tăng trưởng hơn 1.780% so với cùng kỳ và vượt xa kế hoạch cả năm."
